Question,emotion_label,valence_label,audio_path,response_text,ground_truth_label
Can you the history of the Eiffel Tower?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/74_happy_positive.wav,It was built for the 1889 World's Fair to display France's industrial prowess.,positive
Tell me about popular programming languages?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/75_happy_positive.wav,"Python, JavaScript, and Java are wildly popular choices for developers right now!",positive
Can you gardening tips?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/76_happy_positive.wav,"Focus on sunlight, water, and good soil to watch your plants bloom!",positive
Help me with ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/77_happy_positive.wav,"Establishing a regular bedtime routine and creating a comfortable, dark bedroom can help!",positive
Describe the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/78_happy_positive.wav,It produces clean power from endless natural sources and significantly protects our planet for the future.,positive
Can you ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/79_happy_positive.wav,Establishing a regular sleep schedule and creating a relaxing bedtime routine can improve sleep quality.,positive
What's the capital of Japan?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/80_happy_positive.wav,The capital of Japan is Tokyo.,positive
What are the best deals today?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/81_happy_positive.wav,"Specific deals vary constantly, so check online retailers for their current promotions!",positive
What is the benefits of regular exercise?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/82_happy_positive.wav,"Regular exercise boosts energy, improves mood, and strengthens your body.",
Play popular programming languages?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/83_happy_positive.wav,"Python, Java, JavaScript, and C++ are widely used!",
Play the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/84_happy_positive.wav,"I cannot play elements directly, but I can explain gravity for you!",
What is the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/85_happy_positive.wav,Gravity is the universal force that pulls objects toward each other.,
Play how to tie a tie?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/86_happy_positive.wav,"I can't play videos, but I can happily walk you through the steps if you'd like!",
Explain gardening tips?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/87_happy_positive.wav,"Focus on consistent watering, providing good sunlight, and using quality soil for happy plants!",
What's the tallest building in North America?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/88_happy_positive.wav,One World Trade Center in New York City holds that title.,
Play motivational quotes?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/89_happy_positive.wav,I can definitely play some motivational quotes for you.,
What's the largest ocean on Earth?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/90_happy_positive.wav,The Pacific Ocean is Earth's largest ocean!,
What's the largest organ in the human body?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/91_happy_positive.wav,The skin is the largest organ!,
Tell me about steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/92_happy_positive.wav,"Focus on consistent practice, build your vocabulary, and immerse yourself in the language daily!",
Tell me about the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/93_happy_positive.wav,"Renewable energy provides clean power, reduces pollution, and offers endless energy from sources like the sun and wind.",
Explain the benefits of regular exercise?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/94_happy_positive.wav,"Regular exercise boosts energy, improves your mood, and strengthens your heart.",
What is ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/95_happy_positive.wav,Establishing a regular sleep schedule and creating a restful environment can significantly improve quality.,
What is healthy meal ideas?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/96_happy_positive.wav,Baked salmon and roasted vegetables make a balanced and nutritious meal option. Please note this is not medical advice or a diagnosis; see a healthcare professional or seek care.,
What are the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/97_happy_positive.wav,Gravity is the natural force that pulls objects with mass toward each other.,
What is photosynthesis?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/98_happy_positive.wav,Photosynthesis is how plants use sunlight to create food.,
Set healthy meal ideas?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/99_happy_positive.wav,"Focus on lean proteins, colorful vegetables, and whole grains for balanced nutrition. I am an AI, not a doctor; please consult a healthcare professional for dietary advice.",
Play motivational quotes?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/100_happy_positive.wav,"I can do that, starting with, ""The only way to do great work is to love what you do.""",
What are popular programming languages?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/101_happy_positive.wav,"Python, JavaScript, and Java are widely popular programming languages right now!",
Explain the history of Rome?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/102_happy_positive.wav,"The history of Rome spans thousands of years, from its legendary founding to the mighty empire that dominated the ancient world.",
Explain popular programming languages?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/103_happy_positive.wav,"Popular coding languages like Python and JavaScript are used to build websites, analyze data, and create apps.",
Describe tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/104_happy_positive.wav,"Embrace the reuse, recycle, and conserve energy happily!",
What is the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/105_happy_positive.wav,Renewable energy sources provide cleaner power without greenhouse gases and reduce our dependence on fossil fuels.,
Give me directions to the airport.,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/106_happy_positive.wav,"I can't help with that, but I'm glad you're feeling happy!",
Play steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/107_happy_positive.wav,Start by practicing basic vocabulary and grammar daily.,
What's the name of the nearest star to Earth?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/108_happy_positive.wav,The nearest star to Earth is the Sun!,
Set ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/109_happy_positive.wav,Establish a consistent sleep schedule and create a relaxing bedtime routine.,
Who painted the Sistine Chapel ceiling?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/110_happy_positive.wav,Michelangelo was the incredible artist who painted it!,
Explain steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/111_happy_positive.wav,"Start with basic vocabulary and grammar, practice speaking every day, and immerse yourself in the language through media.",
Help me with examples of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/112_happy_positive.wav,"Solar, wind, geothermal, and hydroelectric power are great examples!",
Help me with ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/113_happy_positive.wav,"Establish a regular sleep schedule, create a relaxing bedtime routine, and ensure your sleep environment is dark and cool.",
What's the longest bone in the human body?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/114_happy_positive.wav,"The femur, located in your upper leg, is the longest bone.",
What are photosynthesis?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/115_happy_positive.wav,"Photosynthesis is the wondrous process plants use to turn sunlight, water, and air into their very own food!",
Who won the World Cup in 2018?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/116_happy_positive.wav,France joyfully won the World Cup in 2018!,
How do I the history of the Eiffel Tower?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/117_happy_positive.wav,You can research its construction and historical timeline online.,
Tell me about tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/118_happy_positive.wav,"Focus on reducing waste, conserving energy, and choosing reusable products whenever you can!",
Describe the latest advancements in AI?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/119_happy_positive.wav,"AI is making incredible strides in creating realistic content, analyzing complex data faster than ever, and personalizing user experiences in exciting new ways!",
Can you photosynthesis?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/120_happy_positive.wav,"No, I cannot perform photosynthesis.",
Play a joke?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/121_happy_positive.wav,Why did the scarecrow win an award? Because he was outstanding in his field!,
Can you the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/122_happy_positive.wav,"Renewable energy creates jobs, lowers electricity bills, and provides cleaner air for everyone.",
How do I popular programming languages?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/123_happy_positive.wav,"Exploring popular languages like Python, JavaScript, and Java is a great start!",
Describe motivational quotes?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/124_happy_positive.wav,"Motivational quotes are short, inspiring phrases that energize and push you toward your goals!",
Explain the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/125_happy_positive.wav,Gravity is the friendly force that pulls everything together!,
Who painted 'The Last Supper'?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/126_happy_positive.wav,Leonardo da Vinci painted it!,
What are the latest advancements in AI?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/127_happy_positive.wav,"Generative AI is exploding, with new models that create text, images, and videos faster and better than ever!",
Who is the founder of Microsoft?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/128_happy_positive.wav,Bill Gates is the founder of Microsoft.,
What's the name of the process by which ice turns into water?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/129_happy_positive.wav,That process is called melting.,
Convert 10 dollars to euros.,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/130_happy_positive.wav,Ten dollars is approximately nine euros at the current rate.,
What is the latest advancements in AI?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/131_happy_positive.wav,Significant strides are being made in areas like natural language processing and generative models.,
Describe the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/132_happy_positive.wav,Renewable energy is fantastic because it never runs out and keeps our planet much cleaner!,
What's the capital of Germany?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/133_happy_positive.wav,The capital of Germany is Berlin!,
Explain the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/134_happy_positive.wav,"Gravity is the invisible force that pulls things with mass toward each other, like how Earth pulls us down!",
Describe gardening tips?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/135_happy_positive.wav,"Focus on soil health, water properly, and give your plants the right amount of sun!",
Play how to tie a tie?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/136_happy_positive.wav,"I can't play videos, but I can describe how to tie one.",
Play healthy meal ideas?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/137_happy_positive.wav,I can suggest some vibrant salad recipes or delicious baked fish dishes! What sounds good?,
What's the largest lake in Africa?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/138_happy_positive.wav,That's Lake Victoria!,
What is the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/139_happy_positive.wav,Renewable energy reduces pollution and helps create a sustainable future for everyone.,
Help me with examples of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/140_happy_positive.wav,"Solar, wind, hydro, and geothermal are great examples!",
Explain motivational quotes?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/141_happy_positive.wav,"Motivational quotes are short, inspiring phrases that provide encouragement and positive energy.",
Describe how to bake a cake?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/142_happy_positive.wav,"Just mix the ingredients, pour them into a pan, and bake until golden and delicious!",
What's the oldest tree species in the world?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/143_happy_positive.wav,The Great Basin bristlecone pine is considered the oldest living non-clonal tree species.,
Help me with methods to reduce stress?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/144_happy_positive.wav,"You can try deep breathing, exercising or practicing mindfulness daily.",
How do I how to bake a cake?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/145_happy_positive.wav,"To bake a cake, simply follow a recipe by mixing ingredients, pouring into a pan, and baking until done.",
Can you the benefits of regular exercise?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/146_happy_positive.wav,"Regular exercise boosts your mood, improves energy levels, and strengthens your health.",
What's the currency used in South Korea?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/147_happy_positive.wav,South Korea uses the South Korean won.,
What's the rarest naturally occurring element on Earth?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/148_happy_positive.wav,That would be astatine.,
What's the national sport of China?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/149_happy_positive.wav,Table tennis is the national sport of China!,
Tell me about the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/150_happy_positive.wav,"Renewable energy sources like solar and wind provide clean power that reduces pollution and creates sustainable, long-term energy independence.",
What's the national dish of France?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/151_happy_positive.wav,"It's actually pot-au-feu, a delicious stew!",
Play healthy meal ideas?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/152_happy_positive.wav,I can provide some suggestions if you'd like.,
Tell me about motivational quotes?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/153_happy_positive.wav,"Motivational quotes are short, inspiring phrases designed to encourage positive action.",
Set the process of making tea?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/154_happy_positive.wav,"Just boil water, pour it over your tea, let it steep, and enjoy!",
Help me with tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/155_happy_positive.wav,Start by recycling and conserving water.,
What are ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/our_speech_corpus_test/156_happy_positive.wav,"Establishing a regular sleep schedule, creating a relaxing bedtime routine, and ensuring your sleep environment is cool, dark, and quiet can greatly improve sleep quality.",
