Question,emotion_label,valence_label,audio_path,response_text,ground_truth_label,category
Should I start exercising?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/53_angry_negative.wav,Starting a regular exercise routine can improve your physical and mental health. This is not medical advice or a diagnosis; see a healthcare professional or seek care.,neutral,health_fitness
Should I study tonight?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/54_angry_negative.wav,"Given your intensity, maybe taking a short break before deciding would be helpful.",neutral,education
Will networking help me?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/55_angry_negative.wav,"Yes, connecting with others can definitely provide valuable opportunities and advice.",positive,career
Is it a good time to budget?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/56_angry_negative.wav,"Yes, it is always a good time to organize your finances.",positive,finance
Is it worth planning my day?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/57_angry_negative.wav,"Yes, planning can reduce stress and help you accomplish more, even when you're upset.",neutral,productivity
Is buying a new laptop a good idea?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/58_angry_negative.wav,Buying a new laptop might be necessary depending on your needs and situation.,neutral,finance
Is buying a new laptop a good idea?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/59_angry_negative.wav,It depends on your current needs and budget.,neutral,finance
Should I upgrade my phone?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/60_angry_negative.wav,Only you can decide if the changes meet your current needs.,neutral,technology
Do you think I can achieve my goals?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/61_angry_negative.wav,Your determination is a powerful force; you can achieve your goals.,neutral,motivation
Can I stick to a healthy diet?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/62_angry_negative.wav,Maintaining a balanced diet is achievable with consistent effort and planning. This is not medical advice or a diagnosis; always see a healthcare professional or seek care.,neutral,health_fitness
Should I keep trying?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/63_angry_negative.wav,It depends on what you're trying to achieve and if it's truly worth it.,negative,motivation
Is it a good idea to apologise?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/64_angry_negative.wav,"Apologizing can sometimes be helpful, depending on the situation.",neutral,relationships
Is it worth making a to-do list?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/65_angry_negative.wav,"Yes, a to-do list can effectively organize your tasks and reduce stress.",positive,time_management
Am I going to do well in my exam?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/66_angry_negative.wav,"Given your effort, there's every possibility you'll succeed.",neutral,education
Will it rain later?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/67_angry_negative.wav,"Based on the forecast, there is a chance of rain later.",neutral,weather
Will networking help me?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/68_angry_negative.wav,"Yes, networking can definitely help you. It often opens doors to new opportunities and perspectives.",positive,career
Should I text my friend today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/69_angry_negative.wav,Maybe wait until you feel calmer to reach out.,neutral,relationships
Should I keep trying?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/70_angry_negative.wav,Your persistence depends on what you're trying to achieve.,neutral,motivation
Can I focus with all these notifications?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/71_angry_negative.wav,It's incredibly hard to concentrate with constant interruptions.,negative,technology
Is it worth planning my day?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/72_angry_negative.wav,"Yes, planning can help organize your thoughts and make things feel less chaotic.",positive,productivity
Should I take an umbrella today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/73_angry_negative.wav,You should check the weather forecast for your area before you decide.,neutral,weather
Will I be productive today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/74_angry_negative.wav,Your productivity today depends on the actions you choose to take.,neutral,productivity
Do you think I can achieve my goals?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/75_angry_negative.wav,"Yes, I believe you have the ability to achieve your goals.",positive,motivation
Is it a good day to go outside?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/76_angry_negative.wav,I can't determine that without knowing your location.,neutral,weather
Can I learn a new skill this week?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/77_angry_negative.wav,"Yes, you can definitely learn a new skill this week.",neutral,education
Will it rain later?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/78_angry_negative.wav,I cannot predict whether it will rain later without knowing your current location.,negative,weather
Can I learn a new skill this week?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/79_angry_negative.wav,"Yes, you can definitely learn a new skill this week.",positive,education
Is buying a new laptop a good idea?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/80_angry_negative.wav,It depends entirely on your specific needs and budget.,neutral,finance
How hot will it get this afternoon?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/81_angry_negative.wav,I cannot provide weather information without knowing your location.,,weather
Is it worth resolving this conflict?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/82_angry_negative.wav,"Resolving conflict can often be valuable, fostering peace and understanding.",,relationships
Can I make new friends easily?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/83_angry_negative.wav,"Yes, your ability to connect with others is not limited.",,relationships
Is technology making life better?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/84_angry_negative.wav,Whether technology improves life really depends on how it's used and its impact on individuals.,,technology
Will it rain later?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/85_angry_negative.wav,I can't predict weather without knowing your location.,,weather
Can I focus with all these notifications?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/86_angry_negative.wav,Constant notifications make it incredibly difficult to concentrate.,,technology
Can I hit my deadline?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/87_angry_negative.wav,Focus intensely on the task at hand and you might still make it.,,productivity
Should I try to save more money this month?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/88_angry_negative.wav,"Yes, saving more this month is a good idea.",,finance
Do you think I can pass this test?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/89_angry_negative.wav,"Given your stress, focusing your energy is key.",,education
Is it worth planning my day?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/90_angry_negative.wav,Planning your day can definitely help reduce stress and give you control.,,productivity
Should I wake up early tomorrow?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/91_angry_negative.wav,Waking up early could be productive if you manage to rest well tonight.,,time_management
Is it a good day to go outside?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/92_angry_negative.wav,"Based on the weather, it appears to be a decent day to venture out.",,weather
Is social media worth my time?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/93_angry_negative.wav,It depends on how you use it and what you gain from it.,,technology
Can I manage my time better?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/94_angry_negative.wav,"Yes, implementing structured planning and prioritizing tasks can significantly help.",,time_management
Should I use a calendar for tasks?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/95_angry_negative.wav,A calendar can definitely help you organize and remember tasks.,,time_management
Is it worth making a to-do list?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/96_angry_negative.wav,A to-do list can help organize your thoughts and reduce stress.,,time_management
Is it worth making a to-do list?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/97_angry_negative.wav,Making a to-do list can definitely help you organize your tasks and reduce stress.,,time_management
Should I text my friend today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/98_angry_negative.wav,It might be best to wait until you are calmer to text.,,relationships
Can I stick to a healthy diet?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/99_angry_negative.wav,"Yes, you can absolutely commit to maintaining a healthy eating pattern. This is not medical advice or a diagnosis; see a healthcare professional for care.",,health_fitness
How hot will it get this afternoon?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/100_angry_negative.wav,I can't provide temperature details without knowing your location.,,weather
Should I go for a walk now?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/101_angry_negative.wav,A quiet walk could be a good way to cool down right now.,,health_fitness
Should I apply for that job?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/102_angry_negative.wav,Go ahead if you feel strongly about it.,,career
Should I text my friend today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/103_angry_negative.wav,"If you're too upset, it might be better to wait until you are calmer.",,relationships
Is learning to code useful for me?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/104_angry_negative.wav,Learning to code can provide valuable skills and open up many opportunities.,,technology
Is it a good day to go outside?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/105_angry_negative.wav,Checking the forecast is the best way to determine if it's a good day for outdoors.,,weather
Should I go for a walk now?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/106_angry_negative.wav,A walk could help clear your head if you feel up to it.,,health_fitness
Will networking help me?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/107_angry_negative.wav,Connecting with others can absolutely help you find new opportunities.,,career
Is it worth resolving this conflict?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/108_angry_negative.wav,Resolving conflict is often worthwhile to reduce stress and improve relationships.,,relationships
Is it worth resolving this conflict?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/109_angry_negative.wav,Resolving conflict is often worthwhile to find peace.,,relationships
Can I manage my time better?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/110_angry_negative.wav,"Yes, you can improve your time management skills by prioritizing tasks and setting goals.",,time_management
Is my resume good enough?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/111_angry_negative.wav,I need to see your resume to determine its quality.,,career
Should I keep trying?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/112_angry_negative.wav,It really depends on what you're trying to do and whether it still aligns with your goals.,,motivation
Is it worth making a to-do list?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/113_angry_negative.wav,"Yes, making a to-do list can help organize tasks and reduce stress.",,time_management
Is technology making life better?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/114_angry_negative.wav,"Technology definitely has both positive and negative effects on our lives, it truly depends on how it's used.",,technology
Should I cut my expenses?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/115_angry_negative.wav,Reducing expenses can definitely be a good choice to ease financial pressure.,,finance
Do you think I can pass this test?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/116_angry_negative.wav,"With focused effort and preparation, you have a strong chance to pass.",,education
Should I keep trying?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/117_angry_negative.wav,"It depends on what you're fighting for, but re-evaluating might be helpful.",,motivation
Will I be productive today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/118_angry_negative.wav,Your productivity today is entirely up to you.,,productivity
Will it rain later?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/119_angry_negative.wav,I cannot predict whether it will rain without knowing your current location.,,weather
Is buying a new laptop a good idea?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/120_angry_negative.wav,It depends entirely on your current needs and budget.,,finance
Is learning to code useful for me?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/121_angry_negative.wav,Learning to code can strongly enhance your problem-solving and career options.,,technology
Will networking help me?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/122_angry_negative.wav,"Yes, building professional connections can definitely provide you with new opportunities and helpful resources.",,career
Will it rain later?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/123_angry_negative.wav,I cannot determine rain chances without knowing your location.,,weather
Should I text my friend today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/124_angry_negative.wav,"Reach out if you want to talk, but consider cooling off first to avoid escalating things.",,relationships
Is technology making life better?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/125_angry_negative.wav,"Technology offers benefits and challenges, so its impact is complex and really depends on how it's used.",,technology
Is it worth taking that online course?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/126_angry_negative.wav,It depends on your goals and the quality of the course. Is there a specific benefit you're hoping to gain?,,education
Is my resume good enough?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/127_angry_negative.wav,I can tell you if it's effective if you share it.,,career
Should I wake up early tomorrow?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/128_angry_negative.wav,Waking up early might give you a head start on the day's tasks.,,time_management
Should I use a calendar for tasks?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/129_angry_negative.wav,Using a calendar can definitely help you organize tasks and reduce stress.,,time_management
What's the weather like today?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/130_angry_negative.wav,I can't tell the weather without knowing your location.,,weather
Can I learn a new skill this week?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/131_angry_negative.wav,"Yes, you can focus on one specific, manageable skill this week.",,education
Can I focus with all these notifications?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/132_angry_negative.wav,It is very difficult to focus with constant distractions.,,technology
Can I manage my time better?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/133_angry_negative.wav,"Yes, with some strategies, you absolutely can.",,time_management
Is it worth making a to-do list?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/134_angry_negative.wav,"Yes, a to-do list can help organize your tasks and reduce stress.",,time_management
Should I start working on my project now?,angry,negative,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_new_negative_cleaned/135_angry_negative.wav,"Starting now could be productive, but taking a moment to calm down might be better first.",,productivity
