clip_id,source_batch,question,emotion_label,valence_label,audio_path,response_text,ground_truth_label,is_labelled,duration_s
A_43_happy_positive,corpusA_1200,Play the history of Rome?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_43_happy_positive.wav,"I can't play media, but I can tell you about the history of Rome!",positive,True,3.660625
A_44_happy_positive,corpusA_1200,What are the history of Rome?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_44_happy_positive.wav,"Rome evolved from a small kingdom to a vast empire famous for its lasting laws, art, and engineering.",positive,True,7.06
A_45_happy_positive,corpusA_1200,Can you tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_45_happy_positive.wav,Using less energy and buying locally are great start!,positive,True,3.04
A_46_happy_positive,corpusA_1200,What are steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_46_happy_positive.wav,"Start by learning basic vocabulary and grammar, practicing daily, and immersing yourself through conversation or media.",positive,True,6.28
A_47_happy_positive,corpusA_1200,Play a joke?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_47_happy_positive.wav,Why don't scientists trust atoms? Because they make up everything!,positive,True,3.86
A_48_happy_positive,corpusA_1200,Explain steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_48_happy_positive.wav,"Find a fun language app, practice speaking every day, and watch movies in that language to learn joyfully!",positive,True,5.5200625
A_49_happy_positive,corpusA_1200,Describe photosynthesis?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_49_happy_positive.wav,"Photosynthesis is how plants use sunlight, water, and carbon dioxide to create their own food and release oxygen!",positive,True,7.7200625
A_50_happy_positive,corpusA_1200,What's the fastest growing plant in the world?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_50_happy_positive.wav,Bamboo holds the record for the fastest growing plant!,positive,True,3.17
A_51_happy_positive,corpusA_1200,Describe the process of making tea?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_51_happy_positive.wav,"Just steep some leaves in hot water for a few minutes, then pour and enjoy!",positive,True,4.52
A_52_happy_positive,corpusA_1200,Describe how to bake a cake?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_52_happy_positive.wav,"You mix together dry and wet ingredients, pour the batter into a pan, and bake it until golden!",positive,True,4.94
A_53_happy_positive,corpusA_1200,What is the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_53_happy_positive.wav,Renewable energy helps the environment and provides sustainable power for future generations.,positive,True,4.720625
A_54_happy_positive,corpusA_1200,What's the currency of the United Kingdom?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_54_happy_positive.wav,The currency of the United Kingdom is the pound sterling.,positive,True,3.080625
A_55_happy_positive,corpusA_1200,What is popular programming languages?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_55_happy_positive.wav,"Python, Java, JavaScript, and C++ are among the most popular right now.",neutral,True,4.48
A_56_happy_positive,corpusA_1200,What time is it?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_56_happy_positive.wav,It's currently 4:45 AM UTC.,positive,True,2.92
A_57_happy_positive,corpusA_1200,What's the second most spoken language in the world?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_57_happy_positive.wav,Spanish is the second most spoken language in the world!,positive,True,3.160625
A_58_happy_positive,corpusA_1200,Can you the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_58_happy_positive.wav,Renewable energy reduces pollution and helps combat climate change.,positive,True,3.37
A_59_happy_positive,corpusA_1200,Tell me about the history of Rome?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_59_happy_positive.wav,Rome grew from a small settlement to a mighty empire that shaped much of Western civilization.,positive,True,5.740625
A_60_happy_positive,corpusA_1200,What is how to bake a cake?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_60_happy_positive.wav,"Mix wet and dry ingredients separate, combine them, and bake in a preheated oven until a toothpick comes out clean.",positive,True,5.92
A_61_happy_positive,corpusA_1200,How do I the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_61_happy_positive.wav,Gravity is the fundamental force that draws objects toward each other.,positive,True,4.160625
A_62_happy_positive,corpusA_1200,Can you healthy meal ideas?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_62_happy_positive.wav,"Try grilled salmon, quinoa, and steamed vegetables for a balanced dinner. This is not medical advice or a diagnosis; see a healthcare professional for specific dietary suggestions.",neutral,True,9.04
A_63_happy_positive,corpusA_1200,Explain the history of the Eiffel Tower?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_63_happy_positive.wav,It was built by Gustave Eiffel for the 1889 World's Fair in Paris.,positive,True,4.17
A_64_happy_positive,corpusA_1200,What is the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_64_happy_positive.wav,Gravity is the fundamental force that pulls everything with mass toward each other.,positive,True,5.18
A_65_happy_positive,corpusA_1200,Describe how to bake a cake?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_65_happy_positive.wav,"Combine ingredients, pour into a pan, and bake until a toothpick comes out clean!",positive,True,4.57
A_66_happy_positive,corpusA_1200,Who invented the telephone?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_66_happy_positive.wav,Alexander Graham Bell is generally credited with inventing the telephone.,positive,True,3.57
A_67_happy_positive,corpusA_1200,What are tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_67_happy_positive.wav,"Choosing reusable items, consuming less, and conserving energy are great starting points!",positive,True,5.6
A_68_happy_positive,corpusA_1200,Tell me about the history of Rome?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_68_happy_positive.wav,"Rome grew from a small settlement into a massive empire that profoundly shaped Western law, art, and language.",positive,True,6.490625
A_69_happy_positive,corpusA_1200,How do I examples of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_69_happy_positive.wav,"You can look up examples online, like solar, wind, and hydro power!",positive,True,4.800625
A_70_happy_positive,corpusA_1200,What's the most powerful natural force on Earth?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_70_happy_positive.wav,Most would say the massive movement of tectonic plates is the most powerful force.,positive,True,4.67
A_71_happy_positive,corpusA_1200,How do I the process of making tea?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_71_happy_positive.wav,"Just boil water and pour it over your tea leaves or bag, then let it steep for a few minutes!",positive,True,5.530625
A_72_happy_positive,corpusA_1200,Explain steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_72_happy_positive.wav,"Start by practicing basic vocabulary and grammar every day, use language apps, and try speaking with native speakers!",positive,True,6.670625
A_73_happy_positive,corpusA_1200,Is it going to rain tomorrow?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_73_happy_positive.wav,I can't check the weather for you as I don't know your current location.,positive,True,3.560625
A_74_happy_positive,corpusA_1200,Can you the history of the Eiffel Tower?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_74_happy_positive.wav,It was built for the 1889 World's Fair to display France's industrial prowess.,positive,True,5.19
A_75_happy_positive,corpusA_1200,Tell me about popular programming languages?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_75_happy_positive.wav,"Python, JavaScript, and Java are wildly popular choices for developers right now!",positive,True,4.21
A_76_happy_positive,corpusA_1200,Can you gardening tips?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_76_happy_positive.wav,"Focus on sunlight, water, and good soil to watch your plants bloom!",positive,True,3.87
A_77_happy_positive,corpusA_1200,Help me with ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_77_happy_positive.wav,"Establishing a regular bedtime routine and creating a comfortable, dark bedroom can help!",positive,True,5.09
A_78_happy_positive,corpusA_1200,Describe the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_78_happy_positive.wav,It produces clean power from endless natural sources and significantly protects our planet for the future.,positive,True,5.720625
A_79_happy_positive,corpusA_1200,Can you ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_79_happy_positive.wav,Establishing a regular sleep schedule and creating a relaxing bedtime routine can improve sleep quality.,positive,True,6.14
A_80_happy_positive,corpusA_1200,What's the capital of Japan?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_80_happy_positive.wav,The capital of Japan is Tokyo.,positive,True,2.28
A_81_happy_positive,corpusA_1200,What are the best deals today?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_81_happy_positive.wav,"Specific deals vary constantly, so check online retailers for their current promotions!",positive,True,5.140625
A_82_happy_positive,corpusA_1200,What is the benefits of regular exercise?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_82_happy_positive.wav,"Regular exercise boosts energy, improves mood, and strengthens your body.",,False,4.9
A_83_happy_positive,corpusA_1200,Play popular programming languages?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_83_happy_positive.wav,"Python, Java, JavaScript, and C++ are widely used!",,False,3.6
A_84_happy_positive,corpusA_1200,Play the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_84_happy_positive.wav,"I cannot play elements directly, but I can explain gravity for you!",,False,4.210625
A_85_happy_positive,corpusA_1200,What is the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_85_happy_positive.wav,Gravity is the universal force that pulls objects toward each other.,,False,3.770625
A_86_happy_positive,corpusA_1200,Play how to tie a tie?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_86_happy_positive.wav,"I can't play videos, but I can happily walk you through the steps if you'd like!",,False,4.12
A_87_happy_positive,corpusA_1200,Explain gardening tips?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_87_happy_positive.wav,"Focus on consistent watering, providing good sunlight, and using quality soil for happy plants!",,False,5.13
A_88_happy_positive,corpusA_1200,What's the tallest building in North America?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_88_happy_positive.wav,One World Trade Center in New York City holds that title.,,False,3.12
A_89_happy_positive,corpusA_1200,Play motivational quotes?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_89_happy_positive.wav,I can definitely play some motivational quotes for you.,,False,2.1
A_90_happy_positive,corpusA_1200,What's the largest ocean on Earth?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_90_happy_positive.wav,The Pacific Ocean is Earth's largest ocean!,,False,2.92
A_91_happy_positive,corpusA_1200,What's the largest organ in the human body?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_91_happy_positive.wav,The skin is the largest organ!,,False,2.03
A_92_happy_positive,corpusA_1200,Tell me about steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_92_happy_positive.wav,"Focus on consistent practice, build your vocabulary, and immerse yourself in the language daily!",,False,5.48
A_93_happy_positive,corpusA_1200,Tell me about the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_93_happy_positive.wav,"Renewable energy provides clean power, reduces pollution, and offers endless energy from sources like the sun and wind.",,False,1.93
A_94_happy_positive,corpusA_1200,Explain the benefits of regular exercise?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_94_happy_positive.wav,"Regular exercise boosts energy, improves your mood, and strengthens your heart.",,False,4.500625
A_95_happy_positive,corpusA_1200,What is ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_95_happy_positive.wav,Establishing a regular sleep schedule and creating a restful environment can significantly improve quality.,,False,6.0
A_96_happy_positive,corpusA_1200,What is healthy meal ideas?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_96_happy_positive.wav,Baked salmon and roasted vegetables make a balanced and nutritious meal option. Please note this is not medical advice or a diagnosis; see a healthcare professional or seek care.,,False,10.17
A_97_happy_positive,corpusA_1200,What are the concept of gravity?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_97_happy_positive.wav,Gravity is the natural force that pulls objects with mass toward each other.,,False,4.31
A_98_happy_positive,corpusA_1200,What is photosynthesis?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_98_happy_positive.wav,Photosynthesis is how plants use sunlight to create food.,,False,3.7900625
A_99_happy_positive,corpusA_1200,Set healthy meal ideas?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_99_happy_positive.wav,"Focus on lean proteins, colorful vegetables, and whole grains for balanced nutrition. I am an AI, not a doctor; please consult a healthcare professional for dietary advice.",,False,9.560625
A_100_happy_positive,corpusA_1200,Play motivational quotes?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_100_happy_positive.wav,"I can do that, starting with, ""The only way to do great work is to love what you do.""",,False,4.1
A_101_happy_positive,corpusA_1200,What are popular programming languages?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_101_happy_positive.wav,"Python, JavaScript, and Java are widely popular programming languages right now!",,False,4.6
A_102_happy_positive,corpusA_1200,Explain the history of Rome?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_102_happy_positive.wav,"The history of Rome spans thousands of years, from its legendary founding to the mighty empire that dominated the ancient world.",,False,7.24
A_103_happy_positive,corpusA_1200,Explain popular programming languages?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_103_happy_positive.wav,"Popular coding languages like Python and JavaScript are used to build websites, analyze data, and create apps.",,False,6.58
A_104_happy_positive,corpusA_1200,Describe tips for sustainable living?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_104_happy_positive.wav,"Embrace the reuse, recycle, and conserve energy happily!",,False,3.39
A_105_happy_positive,corpusA_1200,What is the advantages of renewable energy?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_105_happy_positive.wav,Renewable energy sources provide cleaner power without greenhouse gases and reduce our dependence on fossil fuels.,,False,6.8
A_106_happy_positive,corpusA_1200,Give me directions to the airport.,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_106_happy_positive.wav,"I can't help with that, but I'm glad you're feeling happy!",,False,3.14
A_107_happy_positive,corpusA_1200,Play steps to learn a new language?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_107_happy_positive.wav,Start by practicing basic vocabulary and grammar daily.,,False,3.4
A_108_happy_positive,corpusA_1200,What's the name of the nearest star to Earth?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_108_happy_positive.wav,The nearest star to Earth is the Sun!,,False,2.08
A_109_happy_positive,corpusA_1200,Set ways to improve sleep quality?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_109_happy_positive.wav,Establish a consistent sleep schedule and create a relaxing bedtime routine.,,False,4.04
A_110_happy_positive,corpusA_1200,Who painted the Sistine Chapel ceiling?,happy,positive,/home/steve/tmp/Monash Research Code/corpora_cleaned/our_speech_corpus_final/A_110_happy_positive.wav,Michelangelo was the incredible artist who painted it!,,False,2.62
